activation_id,active,technique,technique_family,target_type,target_key,strength,polarity,mapped_sphere,mapping_reason,target_weight,family_weight,polarity_modifier,expected_amount,status
t2n__SATURN__TRINE__MARS,True,transit_to_natal,transit,planet,MARS,0.6886,supportive,crisis_transformation_control,planet MARS found in spheres.crisis_transformation_control.planets,0.7,1.0,1.0,0.482,mapped
t2n__SATURN__SESQUI_QUADRATE__URANUS,True,transit_to_natal,transit,planet,URANUS,0.0164,tense,,no sphere mapping,,1.0,1.0,,unmapped
t2n__URANUS__QUINCUNX__SUN,True,transit_to_natal,transit,planet,SUN,0.2321,neutral,work_status_achievement,planet SUN found in spheres.work_status_achievement.planets,0.5,1.0,0.7,0.0812,mapped
t2n__URANUS__QUINCUNX__SUN,True,transit_to_natal,transit,planet,SUN,0.2321,neutral,body_energy_health,planet SUN found in spheres.body_energy_health.planets,0.8,1.0,0.7,0.13,mapped
t2n__URANUS__SEXTILE__MOON,True,transit_to_natal,transit,planet,MOON,0.3095,supportive,thinking_speech_learning,planet MOON found in spheres.thinking_speech_learning.planets,0.3,1.0,1.0,0.0929,mapped
t2n__URANUS__SEXTILE__MOON,True,transit_to_natal,transit,planet,MOON,0.3095,supportive,relationships_partnership,planet MOON found in spheres.relationships_partnership.planets,0.6,1.0,1.0,0.1857,mapped
t2n__URANUS__SEXTILE__MOON,True,transit_to_natal,transit,planet,MOON,0.3095,supportive,body_energy_health,planet MOON found in spheres.body_energy_health.planets,0.6,1.0,1.0,0.1857,mapped
t2n__URANUS__SEXTILE__MOON,True,transit_to_natal,transit,planet,MOON,0.3095,supportive,home_family_roots,planet MOON found in spheres.home_family_roots.planets,1.0,1.0,1.0,0.3095,mapped
t2n__URANUS__SEXTILE__MOON,True,transit_to_natal,transit,planet,MOON,0.3095,supportive,inner_background_unconscious,planet MOON found in spheres.inner_background_unconscious.planets,0.6,1.0,1.0,0.1857,mapped
t2n__URANUS__TRINE__VENUS,True,transit_to_natal,transit,planet,VENUS,0.3183,supportive,relationships_partnership,planet VENUS found in spheres.relationships_partnership.planets,1.0,1.0,1.0,0.3183,mapped
t2n__URANUS__TRINE__VENUS,True,transit_to_natal,transit,planet,VENUS,0.3183,supportive,money_security_resources,planet VENUS found in spheres.money_security_resources.planets,0.8,1.0,1.0,0.2546,mapped
t2n__URANUS__TRINE__VENUS,True,transit_to_natal,transit,planet,VENUS,0.3183,supportive,home_family_roots,planet VENUS found in spheres.home_family_roots.planets,0.4,1.0,1.0,0.1273,mapped
t2n__URANUS__TRINE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.434,supportive,thinking_speech_learning,planet JUPITER found in spheres.thinking_speech_learning.planets,0.4,1.0,1.0,0.1736,mapped
t2n__URANUS__TRINE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.434,supportive,work_status_achievement,planet JUPITER found in spheres.work_status_achievement.planets,0.3,1.0,1.0,0.1302,mapped
t2n__URANUS__TRINE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.434,supportive,money_security_resources,planet JUPITER found in spheres.money_security_resources.planets,0.7,1.0,1.0,0.3038,mapped
t2n__URANUS__TRINE__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.434,supportive,meaning_expansion_vector,planet JUPITER found in spheres.meaning_expansion_vector.planets,1.0,1.0,1.0,0.434,mapped
t2n__URANUS__TRINE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.7716,supportive,work_status_achievement,planet SATURN found in spheres.work_status_achievement.planets,1.0,1.0,1.0,0.7716,mapped
t2n__URANUS__TRINE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.7716,supportive,relationships_partnership,planet SATURN found in spheres.relationships_partnership.planets,0.3,1.0,1.0,0.2315,mapped
t2n__URANUS__TRINE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.7716,supportive,money_security_resources,planet SATURN found in spheres.money_security_resources.planets,0.6,1.0,1.0,0.463,mapped
t2n__URANUS__TRINE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.7716,supportive,body_energy_health,planet SATURN found in spheres.body_energy_health.planets,0.5,1.0,1.0,0.3858,mapped
t2n__URANUS__TRINE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.7716,supportive,home_family_roots,planet SATURN found in spheres.home_family_roots.planets,0.5,1.0,1.0,0.3858,mapped
t2n__URANUS__TRINE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.7716,supportive,inner_background_unconscious,planet SATURN found in spheres.inner_background_unconscious.planets,0.5,1.0,1.0,0.3858,mapped
t2n__URANUS__TRINE__SATURN,True,transit_to_natal,transit,planet,SATURN,0.7716,supportive,crisis_transformation_control,planet SATURN found in spheres.crisis_transformation_control.planets,0.6,1.0,1.0,0.463,mapped
t2n__URANUS__SESQUI_QUADRATE__PLUTO,True,transit_to_natal,transit,planet,PLUTO,0.1046,tense,money_security_resources,planet PLUTO found in spheres.money_security_resources.planets,0.4,1.0,1.0,0.0418,mapped
t2n__URANUS__SESQUI_QUADRATE__PLUTO,True,transit_to_natal,transit,planet,PLUTO,0.1046,tense,inner_background_unconscious,planet PLUTO found in spheres.inner_background_unconscious.planets,0.4,1.0,1.0,0.0418,mapped
t2n__URANUS__SESQUI_QUADRATE__PLUTO,True,transit_to_natal,transit,planet,PLUTO,0.1046,tense,crisis_transformation_control,planet PLUTO found in spheres.crisis_transformation_control.planets,1.0,1.0,1.0,0.1046,mapped
t2n__NEPTUNE__QUINCUNX__SUN,True,transit_to_natal,transit,planet,SUN,0.2498,neutral,work_status_achievement,planet SUN found in spheres.work_status_achievement.planets,0.5,1.0,0.7,0.0874,mapped
t2n__NEPTUNE__QUINCUNX__SUN,True,transit_to_natal,transit,planet,SUN,0.2498,neutral,body_energy_health,planet SUN found in spheres.body_energy_health.planets,0.8,1.0,0.7,0.1399,mapped
t2n__NEPTUNE__TRINE__MOON,True,transit_to_natal,transit,planet,MOON,0.5159,supportive,thinking_speech_learning,planet MOON found in spheres.thinking_speech_learning.planets,0.3,1.0,1.0,0.1548,mapped
t2n__NEPTUNE__TRINE__MOON,True,transit_to_natal,transit,planet,MOON,0.5159,supportive,relationships_partnership,planet MOON found in spheres.relationships_partnership.planets,0.6,1.0,1.0,0.3095,mapped
t2n__NEPTUNE__TRINE__MOON,True,transit_to_natal,transit,planet,MOON,0.5159,supportive,body_energy_health,planet MOON found in spheres.body_energy_health.planets,0.6,1.0,1.0,0.3095,mapped
t2n__NEPTUNE__TRINE__MOON,True,transit_to_natal,transit,planet,MOON,0.5159,supportive,home_family_roots,planet MOON found in spheres.home_family_roots.planets,1.0,1.0,1.0,0.5159,mapped
t2n__NEPTUNE__TRINE__MOON,True,transit_to_natal,transit,planet,MOON,0.5159,supportive,inner_background_unconscious,planet MOON found in spheres.inner_background_unconscious.planets,0.6,1.0,1.0,0.3095,mapped
t2n__NEPTUNE__SESQUI_QUADRATE__MERCURY,True,transit_to_natal,transit,planet,MERCURY,0.1143,tense,thinking_speech_learning,planet MERCURY found in spheres.thinking_speech_learning.planets,1.0,1.0,1.0,0.1143,mapped
t2n__NEPTUNE__SESQUI_QUADRATE__MERCURY,True,transit_to_natal,transit,planet,MERCURY,0.1143,tense,meaning_expansion_vector,planet MERCURY found in spheres.meaning_expansion_vector.planets,0.4,1.0,1.0,0.0457,mapped
t2n__NEPTUNE__OPPOSITION__VENUS,True,transit_to_natal,transit,planet,VENUS,0.2997,tense,relationships_partnership,planet VENUS found in spheres.relationships_partnership.planets,1.0,1.0,1.0,0.2997,mapped
t2n__NEPTUNE__OPPOSITION__VENUS,True,transit_to_natal,transit,planet,VENUS,0.2997,tense,money_security_resources,planet VENUS found in spheres.money_security_resources.planets,0.8,1.0,1.0,0.2398,mapped
t2n__NEPTUNE__OPPOSITION__VENUS,True,transit_to_natal,transit,planet,VENUS,0.2997,tense,home_family_roots,planet VENUS found in spheres.home_family_roots.planets,0.4,1.0,1.0,0.1199,mapped
t2n__NEPTUNE__OPPOSITION__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.4371,tense,thinking_speech_learning,planet JUPITER found in spheres.thinking_speech_learning.planets,0.4,1.0,1.0,0.1748,mapped
t2n__NEPTUNE__OPPOSITION__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.4371,tense,work_status_achievement,planet JUPITER found in spheres.work_status_achievement.planets,0.3,1.0,1.0,0.1311,mapped
t2n__NEPTUNE__OPPOSITION__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.4371,tense,money_security_resources,planet JUPITER found in spheres.money_security_resources.planets,0.7,1.0,1.0,0.306,mapped
t2n__NEPTUNE__OPPOSITION__JUPITER,True,transit_to_natal,transit,planet,JUPITER,0.4371,tense,meaning_expansion_vector,planet JUPITER found in spheres.meaning_expansion_vector.planets,1.0,1.0,1.0,0.4371,mapped
t2n__NEPTUNE__OPPOSITION__SATURN,True,transit_to_natal,transit,planet,SATURN,0.9103,tense,work_status_achievement,planet SATURN found in spheres.work_status_achievement.planets,1.0,1.0,1.0,0.9103,mapped
t2n__NEPTUNE__OPPOSITION__SATURN,True,transit_to_natal,transit,planet,SATURN,0.9103,tense,relationships_partnership,planet SATURN found in spheres.relationships_partnership.planets,0.3,1.0,1.0,0.2731,mapped
